sample_id	population	superpopulation	ont_hap1_modbed_mb	ont_hap2_modbed_mb	has_pacbio_methylc	has_fiberseq	has_hic	has_isoseq_expression	has_harmonized_sup5_basecall	had_guppy_raw	had_dorado06_raw	assembly_naming	assembly_hap1_url	assembly_hap2_url	in_asm_lr_18donor_cohort	in_asm_lr_30donor_plan
HG02015	KHV	EAS	1530.0	1565.9	False	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02015/assemblies/release2/HG02015_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02015/assemblies/release2/HG02015_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02027	KHV	EAS	2728.5	2650.3	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02027/assemblies/release2/HG02027_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02027/assemblies/release2/HG02027_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02040	KHV	EAS	3703.3	3773.2	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02040/assemblies/release2/HG02040_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02040/assemblies/release2/HG02040_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG02055	ACB	AFR	3231.9	3208.2	True	False	True	False	False	False	False	UNRESOLVED			False	False
HG02056	KHV	EAS	2190.6	2174.6	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02056/assemblies/release2/HG02056_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02056/assemblies/release2/HG02056_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02071	KHV	EAS	2670.4	2706.2	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02071/assemblies/release2/HG02071_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02071/assemblies/release2/HG02071_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02074	KHV	EAS	3383.1	3483.1	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02074/assemblies/release2/HG02074_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02074/assemblies/release2/HG02074_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02080	KHV	EAS	3297.4	3302.1	False	False	True	False	False	False	False	UNRESOLVED			False	False
HG02083	KHV	EAS	3392.6	3406.3	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02083/assemblies/release2/HG02083_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02083/assemblies/release2/HG02083_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02109	NA	NA	3219.4	3236.5	False	False	True	False	False	False	False	UNRESOLVED			False	False
HG02129	KHV	EAS	1892.8	1906.3	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02129/assemblies/release2/HG02129_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02129/assemblies/release2/HG02129_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02132	KHV	EAS	3053.7	3078.2	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02132/assemblies/release2/HG02132_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02132/assemblies/release2/HG02132_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02135	KHV	EAS	2810.3	2726.5	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02135/assemblies/release2/HG02135_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02135/assemblies/release2/HG02135_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02145	ACB	AFR	3085.0	3198.5	True	False	True	False	False	False	False	UNRESOLVED			False	False
HG02148	PEL	AMR	2869.4	2827.4	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02148/assemblies/release2/HG02148_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02148/assemblies/release2/HG02148_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02155	CDX	EAS	3455.4	3470.6	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02155/assemblies/release2/HG02155_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02155/assemblies/release2/HG02155_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG02165	CDX	EAS	3028.1	3041.5	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02165/assemblies/release2/HG02165_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02165/assemblies/release2/HG02165_hap2_hprc_r2_v1.0.1.fa.gz	False	True
HG02178	CDX	EAS	2422.2	2450.2	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02178/assemblies/release2/HG02178_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02178/assemblies/release2/HG02178_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG02257	ACB	AFR	2032.3	2023.7	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02257/assemblies/release2/HG02257_pat_hprc_r2_v1.1.0.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02257/assemblies/release2/HG02257_mat_hprc_r2_v1.1.0.fa.gz	False	False
HG02258	ACB	AFR	2263.8	2329.1	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02258/assemblies/release2/HG02258_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02258/assemblies/release2/HG02258_mat_hprc_r2_v1.0.1.fa.gz	False	False
